,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency,gender
2350,AVpe_bWNilAPnD_xShRX,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,48.99,48.99,true,USD,Men
2351,AVpe_bWNilAPnD_xShRX,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,135.0,135.0,false,USD,Men
2352,AVpe_bWNilAPnD_xShRX,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,44.99,44.99,true,USD,Men
2353,AVpe_bWNilAPnD_xShRX,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,37.99,37.99,true,USD,Men
2354,AVpfJrha1cnluZ0-fAje,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",Red  Black,149.0,149.0,false,USD,Men
2355,AVpfLhY91cnluZ0-fnYo,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Dove GreyBlackLight Crimson,58.97,58.97,false,USD,Men
2357,AVpe_2B51cnluZ0-bn2r,Nike,"Football,Clothing, Shoes & Accessories,Team Sports,Men,Shoes & Cleats,Sporting Goods",BlackWhite,39.16,39.16,true,USD,Men
2358,AVpe_2B51cnluZ0-bn2r,Nike,"Football,Clothing, Shoes & Accessories,Team Sports,Men,Shoes & Cleats,Sporting Goods",BlackWhite,48.95,48.95,false,USD,Men
2359,AVpe_2B51cnluZ0-bn2r,Nike,"Football,Clothing, Shoes & Accessories,Team Sports,Men,Shoes & Cleats,Sporting Goods",BlackWhite,48.95,48.95,false,USD,Men
2360,AVpfLoqUilAPnD_xWry7,Nike,"Clothing, Shoes & Accessories,Men's Clothing,Socks",Blue,19.99,19.99,false,USD,Men
2365,AVpfS7OCilAPnD_xZDTd,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",BlackWhite,65.0,65.0,false,USD,Men
2366,AVpfS7OCilAPnD_xZDTd,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",BlackWhite,45.88,45.88,true,USD,Men
