,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
14212,AVpfbDS71cnluZ0-kfzI,adidas,"Clothing,Shoes,Men's Shoes,Men's Casual Shoes",,1099.99,1099.99,false,USD
14213,AVpfbDS71cnluZ0-kfzI,adidas,"Clothing,Shoes,Men's Shoes,Men's Casual Shoes",,899.99,899.99,false,USD
14214,AVpf4qB2LJeJML43FdOk,Propet,"Men's Dress Shoes,Shoes,Men's Shoes,Clothing","Black,Brown",55.95,55.95,false,USD
14215,AVpfbcoQilAPnD_xbngU,Woolrich,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Camel,Yellowstone",160.00,160.00,false,USD
14216,AVpfbcoQilAPnD_xbngU,Woolrich,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Camel,Yellowstone",169.60,169.60,false,USD
14217,AVpfbcoQilAPnD_xbngU,Woolrich,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Camel,Yellowstone",160.00,160.00,true,USD
14218,AVpf0Qt71cnluZ0-r0V3,Converse,"All Men's Shoes,Shoes,Men's Shoes,Clothing",WhiteMagentaPink,39.99,39.99,false,USD
14219,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",85.0,85.0,false,USD
14220,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",84.97,89.99,false,USD
14221,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",84.5,89.5,false,USD
14222,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",85.0,89.99,false,USD
14223,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",68.88,85.0,false,USD
14224,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",68.6,89.0,false,USD
14225,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",85.0,85.0,false,USD
14226,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",68.6,85.0,false,USD
14227,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",70.98,85.0,false,USD
14228,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",85.0,85.0,false,USD
14229,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",84.5,89.99,false,USD
14230,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",74.0,89.0,false,USD
14231,AVpe_nHeLJeJML430BGB,The North Face,"Outdoor Recreation,Active & Performance,Men,Jackets & Coats,Clothing, Shoes & Jewelry,Sports,Sports & Outdoors,Clothing","Scallion GreenScallion Green,Valencia OrangeVanadis Grey",74.0,89.99,false,USD
14232,AVpf4ksjilAPnD_xj9_1,Franco American Novelties,"Party & Occasions,Halloween,All Costumes,Adult Halloween Costumes,Men's Halloween Costumes,Clothing, Shoes & Accessories",Multicolor,26.29,26.29,true,USD
14233,AVpf4ksjilAPnD_xj9_1,Franco American Novelties,"Party & Occasions,Halloween,All Costumes,Adult Halloween Costumes,Men's Halloween Costumes,Clothing, Shoes & Accessories",Multicolor,31.55,31.55,false,USD
14234,AVpf4ksjilAPnD_xj9_1,Franco American Novelties,"Party & Occasions,Halloween,All Costumes,Adult Halloween Costumes,Men's Halloween Costumes,Clothing, Shoes & Accessories",Multicolor,29.67,29.67,false,USD
14235,AVpfjvep1cnluZ0-m8IO,National Safety Apparel Inc,"Power Tools,Men's Work Gloves,Safety Apparel,Medical Gloves & Masks,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,47.78,47.78,true,USD
