,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
4472,AVpfOgmq1cnluZ0-gmOB,Penny Loves Kenny,"Clothing, Shoes & Accessories,Women's Shoes,Boots,See more Penny Loves Kenny 3560 Womens Dallas Black Qui...",Black,6.5,6.5,FALSE,USD
4473,AVpfOgmq1cnluZ0-gmOB,Penny Loves Kenny,"Clothing, Shoes & Accessories,Women's Shoes,Boots,See more Penny Loves Kenny 3560 Womens Dallas Black Qui...",Black,5.5,5.5,FALSE,USD
4474,AVpfQLbvilAPnD_xYK4Z,,"Shoes & Handbags,Shoes,Women,Athletic",,107.89,107.89,FALSE,CAD
4475,AVpfQTmsLJeJML435qH6,ELLIE SHOES,"Women's Dress Shoes,Shoes,Clothing,Women's Shoes","White,Nude,BLK",57.2,57.2,FALSE,USD
4476,AVpfF78VLJeJML432Oqf,,"Shoes & Handbags,Shoes,Women,Athletic",,35.98,35.98,TRUE,CAD
4477,AVpfF78VLJeJML432Oqf,,"Shoes & Handbags,Shoes,Women,Athletic",,69.98,69.98,FALSE,CAD
4478,AVpfQUFcilAPnD_xYNwN,H by Halston,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,139,139,FALSE,USD
4479,AVpfQUFcilAPnD_xYNwN,H by Halston,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,59.99,59.99,TRUE,USD
4480,AVpfOiv3LJeJML435FCv,Be Wicked,"Women's Hair Accessories,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",,42.49,42.49,TRUE,USD
4481,AVpfOiv3LJeJML435FCv,Be Wicked,"Women's Hair Accessories,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",,35.99,35.99,FALSE,USD
4482,AVpfOiv3LJeJML435FCv,Be Wicked,"Women's Hair Accessories,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",,53.99,53.99,FALSE,USD
4483,AVpfOiv3LJeJML435FCv,Be Wicked,"Women's Hair Accessories,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",,27.99,27.99,TRUE,USD
4484,AVpfF9TPLJeJML432PKS,Crocs,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Bronze,22.95,22.95,FALSE,USD
4485,AVpfBHJMilAPnD_xTHeL,Nike,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing",,65,65,FALSE,USD
4486,AVpfC-gg1cnluZ0-cuFx,Miss Me,"Clothing, Shoes & Accessories,Women's Clothing,Jeans",,46.97,46.97,FALSE,USD
4487,AVpfOg7zLJeJML435Eci,Alegria,"Clothing, Shoes & Accessories,Women's Shoes,Occupational",Gold,60,60,FALSE,USD
4488,AVpfOiCp1cnluZ0-gmtQ,Bucco Capensis,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,120,120,FALSE,USD
4489,AVpfOiCp1cnluZ0-gmtQ,Bucco Capensis,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,16.99,16.99,TRUE,USD
4490,AVpfBIPdLJeJML430jse,Style & Co.,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,29.99,29.99,TRUE,USD
4491,AVpfBIPdLJeJML430jse,Style & Co.,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,99,99,FALSE,USD
4492,AVpfDFp5ilAPnD_xTy9h,Rachel Rachel Roy,"Clothing, Shoes & Accessories,Women's Shoes,Boots",Multi-Color,44.62,44.62,FALSE,USD
4493,AVpfPpPtLJeJML435cMj,TOMS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes",,43.42,43.42,FALSE,USD
4494,AVpfDCioLJeJML431N5o,Touch Ups,"Clothing,Shoes,Women's Shoes,Women's Athletic Shoes",Silver Iridescent,41.8,41.8,FALSE,USD
4495,AVpfBKca1cnluZ0-cF8z,MICHAEL Michael Kors,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing",Vanilla,49.95,49.95,FALSE,USD
4496,AVpfBKca1cnluZ0-cF8z,MICHAEL Michael Kors,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing",Vanilla,49.95,49.95,TRUE,USD
